Opportunity No.,Reporting Status,Product,Industry,Region,Segment,Relative Strength in the segment,Sales Value - $Mn,Profit %,Joint Bid - WSES Portion
Training2259,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,3.4,54,73
Training2260,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,9.4,41,43
Training2261,Lost,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,10.6,67,61
Training2262,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,7.5,47,50
Training2263,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,8.2,46,68
Training2264,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,3.7,45,56
Training2265,Won,Procsys,Capital Markets,UK,"Procsys,Capital Markets,UK",71,6.7,44,60
Training2266,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,6.2,55,66
Training2267,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,8.7,60,63
Training2268,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,8.6,51,43
Training2269,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,10.7,52,53
Training2270,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,6.9,65,46
Training2271,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,9.4,47,63
Training2272,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,9.4,57,66
Training2273,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8,52,75
Training2274,Won,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,8.2,49,52
Training2275,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,6,57,54
Training2276,Won,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,6.6,43,75
Training2277,Lost,LearnSys,Consumer goods,UK,"LearnSys,Consumer goods,UK",82,7.7,41,63
Training2278,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,6.2,52,61
Training2279,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,7.7,39,67
Training2280,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,7,51,54
Training2281,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,5.5,48,60
Training2282,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,8,27,51
Training2283,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,12.3,49,63
Training2284,Lost,Procsys,Insurance,UK,"Procsys,Insurance,UK",75,10.2,42,55
Training2285,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,6.6,27,73
Training2286,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,5.2,28,48
Training2287,Won,Procsys,Security,India,"Procsys,Security,India",44,10,54,56
Training2288,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.6,39,36
Training2289,Won,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,6.5,36,51
Training2290,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,4.1,47,50
Training2291,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,8.2,47,64
Training2292,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,4.6,38,59
Training2293,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,8.1,43,66
Training2294,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,10.3,47,53
Training2295,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,11.4,44,49
Training2296,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,7.1,55,49
Training2297,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,7.6,57,62
Training2298,Won,GTMSys,Defense,Other Europe,"GTMSys,Defense,Other Europe",30,7.2,46,31
Training2299,Lost,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,5,40,44
Training2300,Lost,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,7.4,62,58
Training2301,Won,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,6.2,45,67
Training2302,Won,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66,6.3,36,100
Training2303,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,3.6,39,52
Training2304,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8.4,60,51
Training2305,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,6.8,52,70
Training2306,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,7.8,52,50
Training2307,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,7.9,45,72
Training2308,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,7.3,60,60
Training2309,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,9.8,47,51
Training2310,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,11.3,55,48
Training2311,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,9.4,62,65
Training2312,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,10,54,56
Training2313,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,6.6,53,70
Training2314,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,8,53,59
Training2315,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,6.7,53,61
Training2316,Lost,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,4.9,68,61
Training2317,Won,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69,4.3,59,62
Training2318,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,6.9,58,61
Training2319,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,10.7,43,45
Training2320,Lost,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69,8.2,51,100
Training2321,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,8.4,52,46
Training2322,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,11.2,58,48
Training2323,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,9.7,39,75
Training2324,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,8,53,43
Training2325,Won,Procsys,Energy,UK,"Procsys,Energy,UK",34,8.2,49,53
Training2326,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,9.4,53,54
Training2327,Lost,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,9.3,48,41
Training2328,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,10.8,52,100
Training2329,Lost,Procsys,Security,Americas,"Procsys,Security,Americas",68,11.2,73,73
Training2330,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,10,29,61
Training2331,Won,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,6.2,51,59
Training2332,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,5.7,43,66
Training2333,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,7.6,43,61
Training2334,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,12.9,49,69
Training2335,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,9.8,51,100
Training2336,Lost,GTMSys,Other Govt.,Other Europe,"GTMSys,Other Govt.,Other Europe",72,11.2,53,74
Training2337,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,8,50,52
Training2338,Lost,Finsys,Finance,UK,"Finsys,Finance,UK",77,5.2,41,43
Training2339,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,5.8,58,61
Training2340,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,6.6,58,59
Training2341,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,4.8,49,40
Training2342,Won,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69,7.9,53,58
Training2343,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,9.5,43,67
Training2344,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,10.2,50,54
Training2345,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,3.1,58,38
Training2346,Lost,Procsys,Security,Americas,"Procsys,Security,Americas",68,9.7,48,76
Training2347,Lost,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,7.6,51,42
Training2348,Lost,Procsys,Capital Markets,UK,"Procsys,Capital Markets,UK",71,8.6,53,64
Training2349,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,9,52,48
Training2350,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,4.9,28,54
Training2351,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,6.1,61,59
Training2352,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,8,55,56
Training2353,Lost,Procsys,Clinical research,UK,"Procsys,Clinical research,UK",70,9,54,44
Training2354,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,8.8,41,65
Training2355,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,9.5,52,52
Training2356,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,9.6,44,70
Training2357,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,8.1,53,65
Training2358,Lost,GTMSys,Other Govt.,Other Europe,"GTMSys,Other Govt.,Other Europe",72,9.1,51,58
Training2359,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,7.4,62,51
Training2360,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,4.7,40,29
Training2361,Lost,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,13.5,43,72
Training2362,Lost,GTMSys,Health,UK,"GTMSys,Health,UK",67,8.9,58,68
Training2363,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,5.1,55,48
Training2364,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,6.5,61,71
Training2365,Lost,Procsys,Insurance,UK,"Procsys,Insurance,UK",75,9,47,63
Training2366,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,6.4,41,50
Training2367,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,11.2,48,77
Training2368,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,10.1,52,47
Training2369,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,5.8,51,59
Training2370,Won,Procsys,Security,India,"Procsys,Security,India",44,6.3,45,61
Training2371,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,8,54,70
Training2372,Lost,Logissys,Clinical research,UK,"Logissys,Clinical research,UK",79,3.7,57,73
Training2373,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,6.4,50,56
Training2374,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,10.8,43,57
Training2375,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,7.9,35,44
Training2376,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.6,51,52
Training2377,Lost,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69,7.1,41,49
Training2378,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,7.9,72,66
Training2379,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,9.2,37,70
Training2380,Won,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,9.2,39,73
Training2381,Lost,Procsys,Security,India,"Procsys,Security,India",44,8,49,68
Training2382,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32,8.2,45,58
Training2383,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,9.9,36,77
Training2384,Won,GTMSys,Defense,Other Europe,"GTMSys,Defense,Other Europe",30,11.6,58,54
Training2385,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8.8,45,64
Training2386,Lost,GTMSys,Health,UK,"GTMSys,Health,UK",67,8.4,63,53
Training2387,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,9.7,37,55
Training2388,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,9.7,51,73
Training2389,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,6.9,44,68
Training2390,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,9,47,65
Training2391,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,10,66,62
Training2392,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,8.3,54,62
Training2393,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,8.3,59,47
Training2394,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,11,32,66
Training2395,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,6.7,62,56
Training2396,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,12.3,45,47
Training2397,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.5,62,60
Training2398,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,7.7,40,66
Training2399,Won,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,6.7,63,52
Training2400,Won,Procsys,Security,India,"Procsys,Security,India",44,5.6,52,40
Training2401,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,6.3,57,67
Training2402,Lost,Procsys,Security,India,"Procsys,Security,India",44,7.3,67,57
Training2403,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,10.3,71,50
Training2404,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,4.9,48,60
Training2405,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,8.4,54,60
Training2406,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,9,30,65
Training2407,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,6.4,44,53
Training2408,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,8.6,58,72
Training2409,Lost,GTMSys,Other Govt.,Other Europe,"GTMSys,Other Govt.,Other Europe",72,7.3,66,68
Training2410,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,9.5,49,43
Training2411,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,8.8,32,62
Training2412,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66,8.4,53,69
Training2413,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,6.9,48,61
Training2414,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,9.4,44,67
Training2415,Lost,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,6.9,45,50
Training2416,Won,Procsys,Energy,UK,"Procsys,Energy,UK",34,7.9,64,58
Training2417,Won,Procsys,Security,India,"Procsys,Security,India",44,7.1,50,42
Training2418,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,7.3,29,64
Training2419,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,7.2,52,56
Training2420,Won,Procsys,Security,Americas,"Procsys,Security,Americas",68,7.7,52,55
Training2421,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,10.7,53,70
Training2422,Lost,Procsys,Capital Markets,UK,"Procsys,Capital Markets,UK",71,10.3,47,50
Training2423,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,6.7,59,51
Training2424,Lost,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,8.5,75,54
Training2425,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.7,43,43
Training2426,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,10.7,36,67
Training2427,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,8,50,40
Training2428,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,6.3,52,76
Training2429,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,6.3,41,71
Training2430,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,5.6,43,57
Training2431,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,7.5,57,51
Training2432,Lost,GTMSys,Health,UK,"GTMSys,Health,UK",67,6.1,55,62
Training2433,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,8.6,54,50
Training2434,Lost,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,7.8,62,56
Training2435,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,7.8,53,51
Training2436,Lost,Procsys,Security,India,"Procsys,Security,India",44,12.1,42,71
Training2437,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,9.3,43,44
Training2438,Lost,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,7.1,43,100
Training2439,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,6.4,49,25
Training2440,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,3.9,46,65
Training2441,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,7.6,49,52
Training2442,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,8.8,54,72
Training2443,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,9,41,61
Training2444,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32,6.9,49,69
Training2445,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,7.7,40,51
Training2446,Won,GTMSys,Health,UK,"GTMSys,Health,UK",67,11,42,79
Training2447,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,8.9,45,76
Training2448,Won,Procsys,Security,India,"Procsys,Security,India",44,7.2,46,61
Training2449,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,6.4,51,45
Training2450,Won,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,6.1,54,66
Training2451,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,10.2,49,46
Training2452,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,7.5,55,46
Training2453,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,10.4,39,61
Training2454,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,7.6,42,49
Training2455,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,10.1,41,55
Training2456,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,6.9,64,40
Training2457,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,13.5,21,63
Training2458,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,6.4,47,65
Training2459,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,6.1,44,54
Training2460,Won,Finsys,Insurance,UK,"Finsys,Insurance,UK",31,8.5,49,51
Training2461,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,3.4,43,42
Training2462,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,11.3,30,65
Training2463,Won,Procsys,Energy,UK,"Procsys,Energy,UK",34,9.8,44,36
Training2464,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,6.3,53,49
Training2465,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,10.2,54,59
Training2466,Won,GTMSys,Other Govt.,UK,"GTMSys,Other Govt.,UK",19,9.9,68,57
Training2467,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,11.2,61,73
Training2468,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,9.3,42,53
Training2469,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,10.9,47,72
Training2470,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,7.3,39,54
Training2471,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,6.9,42,57
Training2472,Won,Procsys,White goods,Japan,"Procsys,White goods,Japan",21,10.2,33,68
Training2473,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,6.9,51,73
Training2474,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,8.1,32,73
Training2475,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,9.4,55,43
Training2476,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,7.3,59,74
Training2477,Won,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,9.6,39,66
Training2478,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,5.5,42,54
Training2479,Lost,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,6.3,44,44
Training2480,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,8.5,58,56
Training2481,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,6.1,54,55
Training2482,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,9.6,64,66
Training2483,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,6.7,53,66
Training2484,Lost,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,10,45,61
Training2485,Won,GTMSys,Clinical research,UK,"GTMSys,Clinical research,UK",23,10.1,54,100
Training2486,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,8,57,49
Training2487,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,6.9,52,51
Training2488,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,9.5,61,75
Training2489,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,7.8,44,47
Training2490,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,9.4,71,63
Training2491,Won,Procsys,Energy,UK,"Procsys,Energy,UK",34,8.2,48,68
Training2492,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,8.2,45,42
Training2493,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,5.5,48,68
Training2494,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,8.4,50,70
Training2495,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,5.1,54,44
Training2496,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,9.7,51,58
Training2497,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,7.5,49,72
Training2498,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,5.8,55,56
Training2499,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,6.9,44,50
Training2500,Lost,Procsys,Security,India,"Procsys,Security,India",44,8.1,54,57
Training2501,Lost,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,7.4,58,46
Training2502,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,7.6,46,58
Training2503,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,4,53,69
Training2504,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8.8,54,74
Training2505,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,5.2,68,39
Training2506,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,10.2,34,61
Training2507,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,10.8,44,45
Training2508,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,7.9,71,68
Training2509,Lost,Procsys,Capital Markets,UK,"Procsys,Capital Markets,UK",71,8.1,42,62
Training2510,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,5.8,59,72
Training2511,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,9.8,58,47
Training2512,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,6.4,45,69
Training2513,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,4.1,44,66
Training2514,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,6.2,50,59
Training2515,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,8.6,45,68
Training2516,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,10.9,38,63
Training2517,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,9.2,61,52
Training2518,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,8.4,54,55
Training2519,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,8.6,59,69
Training2520,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,10.4,41,100
Training2521,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,9,53,57
Training2522,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66,10.3,43,53
Training2523,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,5.8,48,78
Training2524,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,8,47,50
Training2525,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,8.8,39,50
Training2526,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,8,49,73
Training2527,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,6,47,58
Training2528,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,10.6,62,59
Training2529,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,7.1,39,48
Training2530,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,9.1,61,67
Training2531,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,11.1,40,47
Training2532,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,9.3,37,62
Training2533,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,9.1,45,60
Training2534,Lost,Procsys,Insurance,UK,"Procsys,Insurance,UK",75,11.1,35,68
Training2535,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,8.3,40,41
Training2536,Lost,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,9,56,27
Training2537,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,7.4,43,61
Training2538,Lost,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,9.9,57,68
Training2539,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,7.7,52,56
Training2540,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,8.7,52,66
Training2541,Lost,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,8.3,66,60
Training2542,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,4.6,56,48
Training2543,Won,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,5.2,45,65
Training2544,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,9,64,100
Training2545,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,7.9,51,66
Training2546,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,8.6,47,67
Training2547,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,10.4,40,60
